"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000000001",2191,2517,1951,5734,3865,5182
"ENSMUSG00000000003",0,0,0,0,0,0
"ENSMUSG00000000028",43,126,50,68,61,70
"ENSMUSG00000000037",0,0,0,1,1,0
"ENSMUSG00000000049",1,1,0,0,1,4
"ENSMUSG00000000056",976,914,918,801,944,837
"ENSMUSG00000000058",23,20,20,494,311,472
"ENSMUSG00000000078",7744,6143,7527,4920,4459,5293
"ENSMUSG00000000085",731,726,801,698,732,658
"ENSMUSG00000000088",6383.99,6516,6488.98,4851.98,4516.98,4093.99
"ENSMUSG00000000093",0,0,0,1,3,4
"ENSMUSG00000000094",0,0,0,1,1,0
"ENSMUSG00000000103",0,0,0,0,0,0
"ENSMUSG00000000120",0,0,0,0,0,0
"ENSMUSG00000000125",0,0,0,3,4,4
"ENSMUSG00000000126",3,5,4,11,13,12
"ENSMUSG00000000127",66,59,51,341,243,305
"ENSMUSG00000000131",2840,2909,2538,2555,2573,2497
"ENSMUSG00000000134",3153,3123,3046,2174,2678,2240
"ENSMUSG00000000142",0,0,0,0,0,0
"ENSMUSG00000000148",338,354,311,570,624,544
"ENSMUSG00000000149",907.34,1342.04,862.82,1677.88,1569.71,1373.92
"ENSMUSG00000000154",15,34,22,22,26,40
"ENSMUSG00000000157",0,0,0,1,1,3
"ENSMUSG00000000159",0,0,0,1,2,3
"ENSMUSG00000000167",5,2,3,68,42,46
"ENSMUSG00000000168",1562,1160,1330,2823,2617,2607
"ENSMUSG00000000171",8191,8529,9425,5601,5284,5315
"ENSMUSG00000000182",0,0,0,0,0,0
"ENSMUSG00000000183",0,0,0,0,0,2
"ENSMUSG00000000184",224,281,219,632,273,443
"ENSMUSG00000000194",3098.21,3492.2,2855.25,3089.06,2572.83,2634.9
"ENSMUSG00000000197",0,0,0,0,0,0
"ENSMUSG00000000202",12,8,4,13,17,17
"ENSMUSG00000000204",276.28,221,262,854.66,934.99,1061.85
"ENSMUSG00000000214",0,0,2,0,3,0
"ENSMUSG00000000215",0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,1,0
"ENSMUSG00000000223",5,21,9,227,31,114
"ENSMUSG00000000244",18,17,11,19,21,20
"ENSMUSG00000000247",0,0,0,2,2,1
"ENSMUSG00000000248",0,0,0,0,0,0
"ENSMUSG00000000253",1050,626,932,617,870,642
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000000266",0,1,0,8,6,6
"ENSMUSG00000000275",5215,3274,4345,5506,5652,5973
"ENSMUSG00000000276",238,171,218,354,381,411
"ENSMUSG00000000278",3862,7197,3929,13940,5423,8028
"ENSMUSG00000000282",2878,3265,2988,1779,1895,1558
"ENSMUSG00000000290",19627,7457,18491,3648,12901,8841
"ENSMUSG00000000295",410,379,413,432,436,397
"ENSMUSG00000000296",0,0,0,1,0,0
"ENSMUSG00000000301",110,114,132,69,64,53
"ENSMUSG00000000303",0,0,0,0,2,0
"ENSMUSG00000000305",0,0,0,1,2,0
"ENSMUSG00000000308",1,0,0,1,1,1
"ENSMUSG00000000317",13,34,26,41,29,38
"ENSMUSG00000000318",649,1086,612,2635.97,1740.95,1896.98
"ENSMUSG00000000320",0,0,0,1,0,0
"ENSMUSG00000000325",147,126,217.28,83.06,118,74.04
"ENSMUSG00000000326",908.93,825.8,940.69,1302.15,1527.03,1296.5
"ENSMUSG00000000339",1013,827,940,1066,1107,1045
"ENSMUSG00000000340",103,70,120,309,277,288
"ENSMUSG00000000346",7681,7228,6671,8263,7835,7914
"ENSMUSG00000000355",545,630,563,599,547,555
"ENSMUSG00000000359",3,1,1,1,1,0
"ENSMUSG00000000365",0,0,0,0,0,0
"ENSMUSG00000000374",1742,1655,1432,2023,1970,2087
"ENSMUSG00000000378",628,705,512,1008,891,850
"ENSMUSG00000000381",0,0,0,0,0,0
"ENSMUSG00000000384",1572,1649,1749,744,950,835
"ENSMUSG00000000385",0,0,0,1,0,0
"ENSMUSG00000000386",0,0,0,0,1,0
"ENSMUSG00000000392",0,0,0,0,0,0
"ENSMUSG00000000394",0,0,0,0,0,0
"ENSMUSG00000000399",2094,1533,1931,1740,1946,1653
"ENSMUSG00000000402",0,0,0,0,0,0
"ENSMUSG00000000409",173,251,176,100,90,67
"ENSMUSG00000000411",2,0,3,0,2,1
"ENSMUSG00000000416",0,0,0,0,0,0
"ENSMUSG00000000420",784,459,528,2778,2851,3197
"ENSMUSG00000000435",0,0,0,0,0,0
"ENSMUSG00000000439",966.02,1102.15,934.2,948.78,840.29,901.12
"ENSMUSG00000000440",1,1,1,6,3,11
"ENSMUSG00000000441",2314.58,2016.61,2206.59,1650.84,1807.41,1681.16
"ENSMUSG00000000486",4,6,5,11,18,9
"ENSMUSG00000000489",1860,991,1662,815,1544,1115
"ENSMUSG00000000530",2241,1615,2065,1644,2311,1750
"ENSMUSG00000000531",194,111,235,54,109,85
"ENSMUSG00000000532",276,169,227,535,459,492
"ENSMUSG00000000538",1720,2143,1628,921,1109,1075
"ENSMUSG00000000544",1,1,1,11,20,13
"ENSMUSG00000000552",376,290,381,193,336,219
"ENSMUSG00000000555",11791,8587,11127,8277,12977,10103
"ENSMUSG00000000560",0,0,0,4.87,3.02,2.06
"ENSMUSG00000000561",397.03,260,292.02,898.11,916.1,839
"ENSMUSG00000000562",5,2,3,40,38,32
"ENSMUSG00000000563",5629.97,5666,5304.98,7105.89,6451.76,6448.93
"ENSMUSG00000000567",0,0,0,0,1,0
"ENSMUSG00000000568",887,756,809,1998,2726.8,2349
"ENSMUSG00000000579",148.75,102.61,122.44,145.88,138.94,140.03
"ENSMUSG00000000581",276,254,237,751,588,656
"ENSMUSG00000000594",21421,15573,22945,9344,13972,11792
"ENSMUSG00000000600",306,272,314,624,604,644
"ENSMUSG00000000605",359,288,248,1330,1298,1401
"ENSMUSG00000000606",0,0,0,0,0,2
"ENSMUSG00000000617",0,0,0,0,0,0
"ENSMUSG00000000627",1,0,1,6,7,6
"ENSMUSG00000000628",8375,7205,6354,9057,8079,8560
"ENSMUSG00000000631",1213,983,1175,1055,1532,1267
"ENSMUSG00000000632",0,0,0,0,0,0
"ENSMUSG00000000673",57,45,55,13,20,12
"ENSMUSG00000000682",2474,2131,2705,660,1011,865
"ENSMUSG00000000686",0,5,3,18,23.07,23
"ENSMUSG00000000690",63,56,56,125,86,80
"ENSMUSG00000000693",201.65,86.91,187.6,62.76,142.39,112.19
"ENSMUSG00000000701",0,0,0,0,0,0
"ENSMUSG00000000706",2,0,1,0,1,1
"ENSMUSG00000000708",209,177,154,626.99,652.99,742
"ENSMUSG00000000711",2912,2631,2510,3146,3147,3169
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",416,344,460,721,590,546
"ENSMUSG00000000731",35,49,36,160,187,189
"ENSMUSG00000000732",250,173,198,291,296,283
"ENSMUSG00000000738",820,655,719,1223,1499,1238
"ENSMUSG00000000739",6.6,6.48,8.7,14.47,9.79,7.19
"ENSMUSG00000000740",45222.42,45733.37,46703.11,30405.64,31666.96,29053.16
"ENSMUSG00000000743",4130,4230,4606,2526,2780,2330
"ENSMUSG00000000751",1204,975,1084,1811,1669,1742
"ENSMUSG00000000753",1323,1025,849,1119,1205,1060
"ENSMUSG00000000759",431,376,330,655,675,633
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",272,353,234,365,288,294
"ENSMUSG00000000782",0,2,0,4,0,0
"ENSMUSG00000000787",2733,2078,2135,9965,7817,10067
"ENSMUSG00000000791",331,448,339,218,138,136
"ENSMUSG00000000792",0,1,2,1,12,5
